cluster,total_demand,population,count_points,lat,lon,nearest_store_km,competitors_within_50km,score
28,44191.4,44455,128,30.55525735170546,-114.02916878825646,427.31884137266,0,44191.4
30,40155.1,40318,159,40.186080090695945,-106.89096081854203,131.20817780728467,0,40155.1
12,33861.6,34679,129,34.94370182958445,-110.72022546434248,291.4892285063627,0,33861.6
52,32758.2,33047,114,43.12474072436126,-115.82188062325018,213.1826560742541,0,32758.2
47,32093.100000000002,32090,129,31.399991535511887,-93.3483325437089,382.03677724313934,0,32093.100000000002
63,31991.4,32353,130,26.357704392995565,-91.1322548114916,312.5890095399314,0,31991.4
69,31394.4,30677,138,39.711178550723794,-94.23263170440866,233.83167514355355,0,31394.4
56,29030.8,29008,126,25.891009582076038,-99.9096676107462,209.20509884739297,0,29030.8
40,28943.3,28995,141,36.83133655030425,-97.45119783568516,183.2265893814071,0,28943.3
51,28719.6,28549,113,46.82133584576647,-100.42499730869261,182.67109727511007,0,28719.6
27,28709.4,28234,130,33.68079138794782,-101.15425965458932,354.976023663185,0,28709.4
60,28361.7,28288,116,30.75841927068498,-97.59578383708639,145.22353727043625,0,28361.7
