date,sales_revenue,units_sold,customer_acquisition,customer_churn,avg_order_value
2025-01-01,29229.45593435466,250,39,10,266.7153594946458
2025-01-02,60316.97825017181,234,42,14,294.7647706482142
2025-01-03,44251.069669787306,246,38,11,423.9380639639232
2025-01-04,35459.31625558174,239,49,10,257.5944862333895
2025-01-05,60832.18632552316,256,46,12,263.14994170187254
2025-01-06,64482.49543791661,256,43,11,302.79818512673967
2025-01-07,41905.01050539393,277,46,22,434.68479724274005
2025-01-08,50077.56171859112,233,47,17,292.38873715114534
2025-01-09,31912.006561935435,243,43,7,272.1878272793011
2025-01-10,44296.52071535475,232,51,8,227.08814819356684
2025-01-11,43160.095111794195,272,46,6,271.0425418707935
2025-01-12,51436.18200424265,276,51,15,249.1227572329889
2025-01-13,73585.83597718674,244,48,16,365.8514510480902
2025-01-14,69416.19867520459,267,47,8,453.4140021726703
2025-01-15,55035.26579707033,252,51,18,450.01547774822274
2025-01-16,49257.99441735795,239,46,19,229.87513845548818
2025-01-17,51113.61995614948,273,46,13,417.6472757393807
2025-01-18,52246.630857520075,234,40,11,278.2479225685014
2025-01-19,51330.76440389775,244,39,15,350.45620485369386
2025-01-20,46088.277412177835,249,39,11,377.3598099706784
2025-01-21,65614.5150685595,262,41,7,383.9798612543401
2025-01-22,58363.54556841002,251,52,14,328.7274187310701
2025-01-23,18047.25715477509,284,40,12,407.0213353291167
2025-01-24,50380.57135256539,246,50,9,312.8059241075223
2025-01-25,53863.21066841462,275,34,11,252.05081689431796
2025-01-26,46151.80401983454,241,35,15,341.1878413779766
2025-01-27,41900.74486026465,258,50,10,416.2115594697839
2025-01-28,35225.61639621025,251,46,8,301.3036189770222
2025-01-29,10000.0,244,58,8,376.57418613900825
2025-01-30,54577.213423421184,258,45,10,463.20983286075955
2025-01-31,63789.857691684505,229,41,16,370.76304707771595
2025-02-01,49543.4441415536,253,36,12,430.2754194920264
2025-02-02,59556.4590589884,246,38,10,377.1644218917331
2025-02-03,43031.24462831057,293,42,9,236.06442699292043
2025-02-04,50024.179395029074,214,33,11,316.51609081734773
2025-02-05,56789.171571243576,251,51,9,405.61245229873214
2025-02-06,61761.037623907294,261,45,15,364.7983743218408
2025-02-07,47317.70108679012,240,55,9,373.080601080357
2025-02-08,50214.698653716536,233,42,20,263.4678406941138
2025-02-09,41924.763983832796,234,45,4,443.04789677062246
2025-02-10,69404.40029451613,260,64,17,364.3527794271622
2025-02-11,42915.68014555619,250,51,12,400.99471664046746
2025-02-12,42219.72088117304,261,40,16,404.7377944932421
