region,quarter,revenue,growth_rate,market_share
North America,Q1 2025,467998.79597366886,17.341260554925725,26.864199811384797
North America,Q2 2025,401027.4758660052,0.2628981434612818,11.27955328413243
North America,Q3 2025,312397.67319800844,3.6428332970491564,24.280148240303937
North America,Q4 2025,725001.2815457755,5.066919346480761,27.983700964688694
Europe,Q1 2025,738403.2822452433,4.522255059666236,11.992840038063765
Europe,Q2 2025,461915.7373487711,18.084456975422736,17.83470619631664
Europe,Q3 2025,546103.7637715236,12.831356459658585,27.228288042404298
Europe,Q4 2025,612175.8484965038,17.66155715741071,34.145977323828134
Asia Pacific,Q1 2025,632268.2074106196,16.78012230407337,25.894321542472127
Asia Pacific,Q2 2025,563441.4662126687,12.323948193534571,21.5303885394864
Asia Pacific,Q3 2025,675070.2233045679,5.911084916590694,12.644988734284768
Asia Pacific,Q4 2025,680320.872276029,26.7844011782763,20.826959708168435
Latin America,Q1 2025,562027.8749757662,8.79778150726084,13.283556569638268
Latin America,Q2 2025,441007.4309904133,22.62190533849729,15.919975550238401
Latin America,Q3 2025,366035.4544625434,6.1646650829835945,11.485608379750179
Latin America,Q4 2025,564829.3171054121,5.4485060343812854,10.682474242302074
Middle East,Q1 2025,343379.6959792491,20.285540597925667,15.076366144804005
Middle East,Q2 2025,635048.3544522811,20.58145469363818,25.679137196554407
Middle East,Q3 2025,505524.227761023,16.281799301148663,34.30801990959879
Middle East,Q4 2025,405638.8696222812,13.101256424719493,28.21735139003157
